iter	Passed	Remaining
0	989	988596
1	1341	669394
2	2375	789427
3	3621	901636
4	5067	1008403
5	5544	918589
6	6583	933892
7	7368	913714
8	8209	903959
9	9147	905630
10	9558	859416
11	10509	865303
12	11239	853363
13	12099	852126
14	12929	849068
15	13953	858111
16	14802	855940
17	15656	854160
18	16563	855198
19	17372	851263
20	18250	850806
21	19210	853985
22	20127	854993
23	21033	855367
24	21876	853181
25	22924	858805
26	23991	864566
27	24870	863364
28	25810	864213
29	26684	862803
30	27891	871841
31	28811	871558
32	29721	870932
33	30577	868773
34	31526	869241
35	32570	872164
36	33379	868759
37	34384	870464
38	35305	869974
39	36226	869427
40	36999	865434
41	37908	864676
42	38808	863722
43	39657	861639
44	40569	860975
45	41504	860764
46	42384	859420
47	43271	858226
48	44170	857266
49	45125	857380
50	46460	864538
51	47909	873420
52	49048	876403
53	49941	874899
54	50792	872712
55	51716	871786
56	52804	873592
57	53847	874562
58	54776	873640
59	55665	872087
60	56615	871505
61	57947	876682
62	59632	886919
63	61146	894264
64	62683	901679
65	64323	910281
66	65843	916898
67	67326	922775
68	68958	930445
69	70102	931367
70	71445	934832
71	72993	940805
72	74128	941328
73	74993	938429
74	76049	937942
75	77415	941212
76	78865	945360
77	79832	943664
78	80759	941510
79	81651	938989
80	82602	937183
81	83545	935297
82	84501	933591
83	85359	930825
84	86185	927766
85	87039	925048
86	87860	922029
87	88928	921620
88	89793	919120
89	90610	916173
90	91543	914431
91	92552	913454
92	93436	911255
93	94256	908476
94	95100	905962
95	96083	904790
96	96922	902280
97	97746	899669
98	98702	898295
99	99645	896809
100	100484	894409
101	101331	892116
102	102195	889992
103	103134	888542
104	103871	885384
105	104882	884574
106	105754	882601
107	106737	881569
108	107619	879718
109	108460	877541
110	109490	876913
111	110434	875584
112	111233	873135
113	112134	871500
114	113140	870686
115	113893	867945
116	114674	865450
117	115436	862837
118	116373	861554
119	117250	859837
120	118098	857919
121	118926	855879
122	119874	854711
123	120716	852802
124	121572	851010
125	122392	848973
126	123400	848258
127	124313	846883
128	125308	846076
129	126312	845323
130	127243	844082
131	128174	842844
132	129003	840948
133	130009	840207
134	130921	838867
135	131893	837912
136	132783	836441
137	133619	834635
138	134802	835001
139	135739	833826
140	136636	832414
141	137538	831041
142	138576	830489
143	139493	829211
144	140505	828495
145	141428	827260
146	142296	825709
147	143176	824234
148	144190	823529
149	145156	822555
150	146129	821615
151	147045	820357
152	148512	822158
153	149791	822882
154	150870	822486
155	151808	821324
156	152804	820470
157	153718	819183
158	154347	816392
159	155133	814449
160	155820	812007
161	156532	809718
162	157378	808132
163	158209	806482
164	159697	808167
165	160829	808021
166	162001	808068
167	162833	806415
168	163534	804126
169	164488	803092
170	165282	801280
171	166017	799201
172	166871	797705
173	167874	796919
174	168814	795841
175	169740	794693
176	170612	793298
177	171543	792183
178	172447	790947
179	173298	789470
180	174144	787979
181	175162	787269
182	176043	785941
183	176906	784544
184	177864	783564
185	178779	782399
186	179635	780982
187	180560	779866
